limite superior;tiempo clave user_name linear_probing;tiempo clave user_id linear_probing;tiempo clave user_name quadratic;tiempo clave user_id quadratic;tiempo clave user_name double;tiempo clave user_id double;tiempo clave user_name abierto;tiempo clave user_id abierto;tiempo clave user_name stl;tiempo clave user_id stl
1000;0.00282242;0.00189164;0.0088821;0.00190357;0.00249011;0.00181518;0.00372093;0.00273535;0.00188149;0.00178442
5000;0.0121198;0.00868669;0.0179063;0.00876336;0.0114212;0.00888303;0.0170686;0.0126611;0.00935486;0.00899366
10000;0.0246878;0.0176702;0.0291816;0.0173803;0.0227264;0.0179086;0.0333184;0.0243589;0.0181409;0.0176662
15000;0.0398278;0.0282626;0.0446693;0.0294945;0.0372003;0.0268814;0.0406175;0.0322221;0.0284482;0.0273907
20000;0.0491783;0.0354243;0.0549111;0.0360269;0.0454419;0.034914;0.0663145;0.0501144;0.0379467;0.0362862
1000;0.00281513;0.00185231;0.00880703;0.00189051;0.00242969;0.00182168;0.00370938;0.00273153;0.00187252;0.0018029
5000;0.0120054;0.00878761;0.0179887;0.00884197;0.0114624;0.00886997;0.01682;0.01242;0.00926731;0.00888503
10000;0.024406;0.0176439;0.0294003;0.0176196;0.0225673;0.0178108;0.0329724;0.0243765;0.0181262;0.0176378
15000;0.0399319;0.0287255;0.0436957;0.0296462;0.0373655;0.027236;0.0405761;0.0322928;0.0286023;0.0272045
20000;0.050265;0.0356351;0.0547086;0.035234;0.0457108;0.0345788;0.0659707;0.0499171;0.0369076;0.0353951
1000;0.00281349;0.00193155;0.00896337;0.00192447;0.00240771;0.00183147;0.00369098;0.00274358;0.00194688;0.00182985
5000;0.0119195;0.00869501;0.0182694;0.008705;0.0113706;0.0086955;0.0168177;0.0125236;0.00941478;0.00897604
10000;0.024639;0.0176447;0.0295652;0.0173012;0.0230643;0.0178243;0.0331196;0.0245526;0.0182291;0.0177106
15000;0.0402536;0.0283585;0.0436587;0.0298152;0.0367685;0.0269873;0.0409794;0.0315112;0.028152;0.0268928
20000;0.0487704;0.0350604;0.0546882;0.0350063;0.0452946;0.0346662;0.0654994;0.0495623;0.0372168;0.0356148
1000;0.00269525;0.00185243;0.00875573;0.00183618;0.00243166;0.00185633;0.00375373;0.00276053;0.00185158;0.00181733
5000;0.0122875;0.00875774;0.0182648;0.00886256;0.0116694;0.00876002;0.0169389;0.0124568;0.00929171;0.00895058
10000;0.0247021;0.017668;0.0291914;0.017442;0.0224328;0.0178407;0.0327202;0.0241851;0.0182401;0.0178258
15000;0.0403081;0.028379;0.0445655;0.0298603;0.0374665;0.0269801;0.0404913;0.0317627;0.028348;0.0271642
20000;0.0490941;0.0352937;0.0548367;0.0360199;0.0460768;0.0353442;0.0658548;0.0497748;0.0379932;0.0359713
1000;0.00341825;0.00221315;0.00883748;0.00191122;0.00258878;0.00183872;0.00370581;0.00271002;0.0019194;0.00179288
5000;0.0126991;0.00886192;0.0178473;0.00892964;0.0117665;0.00876013;0.0164984;0.0123775;0.00930807;0.00892295
10000;0.0241641;0.0177351;0.0293324;0.0174128;0.0226507;0.0177603;0.0325302;0.0243178;0.0182743;0.0176572
15000;0.0402654;0.0287939;0.0443162;0.0305922;0.0367955;0.0277209;0.0413319;0.0319197;0.0285481;0.0271196
20000;0.0489403;0.0351424;0.0543307;0.0351073;0.0456381;0.0344068;0.0662398;0.0503062;0.037082;0.0352296
1000;0.0026501;0.00187687;0.00872111;0.001839;0.00242459;0.00183302;0.00369956;0.00274477;0.00187005;0.00181376
5000;0.0124193;0.00868972;0.0178115;0.00865883;0.0115971;0.0087239;0.0170524;0.012704;0.00940632;0.00892923
10000;0.0243213;0.0175548;0.0295653;0.0172829;0.0225644;0.0182869;0.0330603;0.0243402;0.0181892;0.0175033
15000;0.0401852;0.0278549;0.0432801;0.0299831;0.0370348;0.0273575;0.0406571;0.031861;0.0286389;0.0272923
20000;0.0492961;0.0349341;0.0546973;0.035749;0.0460546;0.0344503;0.0656603;0.0501365;0.0370746;0.0356288
1000;0.00257797;0.0018675;0.00867454;0.00182437;0.0024163;0.00184254;0.00373996;0.00270867;0.00188012;0.00182253
5000;0.0123428;0.00879347;0.0180629;0.00882327;0.0115768;0.0086523;0.0172187;0.0126249;0.00925654;0.00889838
10000;0.0239928;0.0174887;0.0290705;0.0172973;0.0226772;0.0181844;0.0331367;0.0246195;0.0184381;0.0176171
15000;0.0394411;0.0280546;0.0436103;0.029051;0.0365706;0.0270292;0.0411544;0.0320753;0.0281537;0.0269831
20000;0.0488597;0.0350266;0.0553807;0.0354637;0.0457345;0.0347648;0.0666433;0.0506506;0.0367877;0.0355226
1000;0.00271616;0.00203145;0.00911544;0.00190117;0.00242461;0.00188837;0.00370239;0.00272642;0.0019127;0.00187487
5000;0.0119572;0.00877978;0.0182062;0.00869057;0.0115524;0.00869319;0.0171931;0.0124989;0.00926919;0.00901692
10000;0.0245615;0.0178;0.0296519;0.0174443;0.0226385;0.0180235;0.0327173;0.0244246;0.0182403;0.0175937
15000;0.0396411;0.0284281;0.0435107;0.0293865;0.0370788;0.0272629;0.04166;0.0320815;0.0279656;0.0267503
20000;0.0487828;0.035226;0.0548643;0.0354389;0.0463417;0.0347724;0.0657254;0.0502766;0.0372721;0.0356396
1000;0.00277596;0.00188839;0.00875232;0.00188253;0.00244173;0.00183054;0.00371784;0.00275287;0.00187294;0.00179911
5000;0.0121815;0.00873086;0.0179298;0.00876126;0.0113888;0.00866075;0.0170304;0.0126351;0.00925693;0.00891663
10000;0.0247628;0.0176334;0.0293029;0.0175135;0.0228445;0.0181772;0.0328327;0.0244492;0.0188006;0.018085
15000;0.0407897;0.028216;0.0437216;0.0297505;0.036385;0.0266522;0.0410045;0.0318863;0.0284817;0.0270312
20000;0.0496551;0.0348027;0.0543362;0.0352546;0.0458007;0.0342219;0.0653413;0.0495327;0.0372739;0.0354988
1000;0.00276213;0.00192034;0.00890325;0.00185133;0.00241793;0.00181813;0.00374564;0.00276622;0.00190282;0.00185627
5000;0.0122033;0.0087633;0.0178222;0.00867091;0.0112815;0.00872397;0.0166256;0.0126525;0.00955005;0.00909343
10000;0.0245602;0.0177956;0.0295168;0.0174502;0.0234743;0.0184936;0.0332354;0.0246536;0.0187831;0.0180185
15000;0.040279;0.0287282;0.0448228;0.0296519;0.037561;0.027683;0.041215;0.0319071;0.0289943;0.027482
20000;0.0487222;0.0348075;0.0549924;0.0354038;0.0454804;0.0343665;0.0649814;0.0508995;0.0373727;0.0356365
1000;0.00284017;0.00188105;0.0087562;0.00189732;0.00243565;0.00187739;0.00370675;0.0027207;0.00187737;0.00182014
5000;0.0119257;0.0086824;0.0176498;0.0086552;0.0117197;0.00874481;0.0167865;0.012594;0.00925789;0.00887863
10000;0.0241944;0.0176711;0.029829;0.017281;0.0224045;0.0179891;0.0330468;0.0246143;0.018311;0.0176678
15000;0.0402242;0.0288743;0.0446705;0.029786;0.0371697;0.0273254;0.0410786;0.0323407;0.028916;0.0274428
20000;0.0487435;0.0351715;0.0562122;0.0353851;0.0461212;0.0346229;0.0654325;0.0503999;0.0376023;0.036086
1000;0.002852;0.00201214;0.00894351;0.00201222;0.00255353;0.00199051;0.00396607;0.00298573;0.00207552;0.00197733
5000;0.0125241;0.00874889;0.0179473;0.00868943;0.0114968;0.00890844;0.0167946;0.0122976;0.00933261;0.00887104
10000;0.0240506;0.0174587;0.0295861;0.017177;0.0228599;0.0178204;0.0330618;0.0245386;0.0183204;0.0177079
15000;0.0400058;0.0280906;0.043735;0.0293993;0.0367236;0.0268146;0.0408526;0.0317543;0.0282337;0.0269938
20000;0.0487595;0.0350813;0.0575753;0.0357737;0.0460511;0.0352264;0.0662329;0.0504075;0.0370351;0.0354058
1000;0.00258931;0.00184834;0.0087807;0.00187168;0.00242576;0.00187169;0.00370923;0.00273804;0.00186936;0.00182527
5000;0.0121267;0.00889584;0.0180218;0.00869099;0.0114048;0.00882364;0.016382;0.0123096;0.00925864;0.00894476
10000;0.0238328;0.0175927;0.0297786;0.0173166;0.0227136;0.0179039;0.0323543;0.024675;0.0186155;0.0179723
15000;0.0401025;0.0280642;0.0438476;0.0291483;0.0366194;0.0270928;0.0410618;0.0315978;0.0280641;0.0267445
20000;0.0492813;0.0350678;0.0547827;0.0352759;0.0451521;0.033546;0.0656291;0.0496069;0.0368305;0.0358459
1000;0.00274331;0.00188212;0.00879136;0.00184267;0.00242505;0.00183539;0.00368654;0.002704;0.00188694;0.0018504
5000;0.0123857;0.00879023;0.0181688;0.00874369;0.0114008;0.00867594;0.0169686;0.0124455;0.00931509;0.00905591
10000;0.0241205;0.0173413;0.0289725;0.0170564;0.0227659;0.0177721;0.0327898;0.0243642;0.0183212;0.0176242
15000;0.0398281;0.0286116;0.0438093;0.0291691;0.0380747;0.0273973;0.0403556;0.0320591;0.0286287;0.0272316
20000;0.0486994;0.0350818;0.0538722;0.0348638;0.0452472;0.0340965;0.0654642;0.0499405;0.0372906;0.0356576
1000;0.00273979;0.00193267;0.00896655;0.00190512;0.00250314;0.00189648;0.0037823;0.00280023;0.00194906;0.00182791
5000;0.0121997;0.00877406;0.0176529;0.00863305;0.0115335;0.00871162;0.0168118;0.0125647;0.0095457;0.00911862
10000;0.0245932;0.0179259;0.0296081;0.0173468;0.0230834;0.0181278;0.0330153;0.0242587;0.0187689;0.018022
15000;0.0406653;0.0284145;0.0444247;0.0311585;0.0369043;0.0271321;0.0407824;0.0319745;0.0287081;0.0275873
20000;0.0488653;0.0349676;0.0548066;0.0357188;0.0463332;0.0349363;0.0658819;0.050761;0.0369373;0.0355114
1000;0.00279894;0.00188983;0.00919467;0.00186804;0.00248532;0.00183882;0.00371189;0.00274609;0.00196349;0.0018282
5000;0.0122944;0.00857867;0.0178484;0.00862846;0.0113555;0.0086603;0.0169733;0.0124074;0.00925321;0.00905288
10000;0.0238281;0.0177024;0.0297106;0.0175861;0.022884;0.017964;0.0325848;0.0244047;0.0183421;0.0176067
15000;0.0403237;0.0282045;0.0437136;0.0293188;0.0371034;0.0275097;0.040569;0.031865;0.0283512;0.0270614
20000;0.0488267;0.0349353;0.0543474;0.0353049;0.0457569;0.0346236;0.0657554;0.050181;0.0377635;0.0361012
1000;0.00314836;0.00200366;0.00886184;0.00186054;0.00242122;0.00181846;0.00368872;0.0027296;0.00187249;0.00185307
5000;0.0119087;0.00882409;0.0194623;0.00871283;0.0115058;0.00863043;0.0168084;0.0123609;0.0092795;0.00892754
10000;0.0241382;0.0174966;0.0297804;0.0173865;0.0227857;0.0178777;0.0324652;0.0242069;0.0183503;0.0176326
15000;0.0409006;0.0290884;0.0447225;0.028712;0.0379723;0.0274296;0.0410209;0.0320831;0.0287973;0.0273932
20000;0.0491232;0.0350241;0.0544115;0.0344753;0.0455201;0.0351315;0.0658617;0.0503529;0.0372922;0.0355106
1000;0.0027021;0.00188636;0.00904974;0.00190968;0.00244123;0.00205588;0.00373444;0.0027939;0.00189554;0.00178956
5000;0.0121894;0.00868007;0.0178716;0.00865951;0.0116331;0.00867862;0.016876;0.0124751;0.00927865;0.00891121
10000;0.0242816;0.0174772;0.0294125;0.0170754;0.0224273;0.0177161;0.033084;0.0242723;0.0181831;0.0176596
15000;0.039926;0.0280829;0.0439512;0.0293263;0.0374446;0.0274441;0.0408946;0.031754;0.0285811;0.027145
20000;0.0489163;0.0347197;0.0546264;0.0351299;0.0454885;0.0347672;0.0654243;0.0499723;0.0372505;0.0357084
1000;0.00273284;0.00192893;0.00892241;0.0018847;0.00247778;0.00183654;0.00379802;0.00279345;0.00209846;0.00179294
5000;0.0125542;0.00886667;0.0179166;0.00885853;0.0114346;0.00877544;0.0172502;0.012611;0.00944448;0.00912492
10000;0.0240397;0.0174668;0.0290166;0.0171276;0.0226233;0.0178401;0.0332111;0.0242814;0.018534;0.0178475
15000;0.039539;0.0280221;0.0432984;0.0290571;0.0363313;0.0265349;0.0406429;0.0316023;0.0285904;0.0273152
20000;0.0488821;0.034934;0.0542598;0.0360773;0.0461427;0.0351281;0.0663487;0.0502692;0.0378759;0.0362314
1000;0.00263648;0.00191762;0.00917722;0.00186745;0.00257519;0.00183935;0.00376836;0.00273889;0.00187459;0.00180602
5000;0.0126845;0.00872399;0.0180918;0.00872416;0.0115791;0.00866641;0.0168627;0.0123896;0.00943963;0.00898834
10000;0.0241948;0.0175879;0.0295167;0.0174194;0.022451;0.0176144;0.032751;0.0242755;0.0181849;0.0178609
15000;0.0395597;0.0282008;0.0439232;0.028741;0.0374915;0.0273976;0.0406415;0.0318652;0.02854;0.0276442
20000;0.0532408;0.0356093;0.0551881;0.0364713;0.0462261;0.0353069;0.0661723;0.0506709;0.038087;0.0361792
1000;0.0028565;0.00183908;0.00896406;0.00189582;0.00239041;0.00185128;0.00370371;0.00279773;0.00193541;0.00182803
5000;0.0121197;0.00873101;0.0178599;0.0087358;0.0114699;0.00867424;0.0169917;0.0123997;0.00928601;0.00896523
10000;0.0246298;0.01755;0.0290328;0.0171479;0.0227923;0.0178056;0.0327537;0.024394;0.0182917;0.0174774
15000;0.040034;0.0285825;0.0439027;0.0292671;0.0372043;0.0278034;0.0408541;0.0317551;0.0285459;0.0271378
20000;0.0491058;0.0348427;0.0544245;0.0349783;0.0462445;0.0348823;0.0655592;0.0502803;0.0369048;0.0354756
1000;0.0027541;0.0019163;0.00882741;0.0018385;0.00244127;0.00182882;0.00376865;0.00269907;0.00196078;0.00182035
5000;0.0120827;0.00866929;0.0178157;0.00866835;0.0113755;0.00877197;0.0166392;0.0125157;0.00924152;0.00890905
10000;0.0244227;0.0177471;0.0298463;0.0177383;0.0230381;0.0181325;0.0327;0.0242988;0.0185481;0.017805
15000;0.0398658;0.0283464;0.0441441;0.0293294;0.0370942;0.0273259;0.0409706;0.0321348;0.0285657;0.0274393
20000;0.0490039;0.0350523;0.055178;0.0354904;0.0460488;0.0346928;0.0655486;0.0503947;0.0369376;0.0353776
1000;0.00279961;0.00190774;0.00878953;0.00189036;0.00245938;0.00201933;0.00377372;0.00273978;0.00185993;0.00184415
5000;0.0124322;0.00880861;0.0179955;0.00887408;0.0115139;0.00888326;0.0169151;0.0124035;0.00956943;0.00919293
10000;0.0239741;0.0175716;0.0289787;0.0175174;0.0227913;0.0180182;0.0326292;0.0242659;0.0184395;0.0176547
15000;0.0396778;0.0283255;0.0439372;0.031121;0.0364408;0.0266601;0.0406795;0.0317013;0.0280608;0.0269293
20000;0.0491033;0.0351505;0.0556081;0.0353329;0.0456691;0.0349651;0.0664452;0.0509661;0.0367226;0.0353105
1000;0.00278822;0.00184624;0.00867942;0.00187021;0.00242513;0.00186975;0.0036842;0.00276285;0.0018867;0.00180622
5000;0.0122671;0.00883214;0.0185552;0.0089976;0.0115838;0.00893556;0.0167818;0.0123501;0.00948084;0.00904882
10000;0.0239662;0.0173829;0.0289148;0.0171729;0.0224433;0.017861;0.0331839;0.0244094;0.0181372;0.0176422
15000;0.0398278;0.028149;0.0452661;0.0291563;0.0369823;0.0270324;0.0405419;0.0319172;0.0281407;0.0270135
20000;0.0494246;0.0354233;0.0543277;0.0349977;0.0453409;0.0344783;0.0657267;0.0503158;0.0369887;0.035611
1000;0.00280721;0.00187456;0.0086472;0.00185245;0.00240885;0.00185979;0.00369476;0.00279228;0.00191244;0.00184572
5000;0.0119478;0.00867419;0.017704;0.00864412;0.0115329;0.00865602;0.016625;0.012527;0.00934023;0.00895245
10000;0.0238544;0.0174567;0.0295146;0.0171903;0.0223108;0.018021;0.032877;0.0243033;0.0183821;0.017686
15000;0.0397084;0.0274241;0.0429727;0.0291174;0.0371622;0.0266531;0.040998;0.0315427;0.0280285;0.027195
20000;0.0488673;0.0348434;0.054498;0.0350758;0.0457157;0.0347858;0.0667247;0.0499279;0.0369233;0.0358011
1000;0.00275596;0.00184337;0.00860025;0.00185815;0.00238426;0.0018371;0.00369733;0.00274483;0.0018594;0.00185683
5000;0.0121426;0.00862377;0.017971;0.00868905;0.0114125;0.00900191;0.017073;0.0124091;0.00919879;0.00900723
10000;0.0243226;0.0175833;0.0295319;0.0172489;0.0225874;0.0179884;0.0326571;0.024205;0.0185817;0.0179973
15000;0.0397842;0.0281596;0.0433028;0.0291154;0.0372149;0.026982;0.0405614;0.0315049;0.0283261;0.0270571
20000;0.0485823;0.0344821;0.0538659;0.0352586;0.0455614;0.0345003;0.0661472;0.05038;0.0375762;0.0360187
1000;0.00257784;0.00184415;0.00873738;0.00183387;0.00239387;0.00182374;0.003701;0.00271226;0.00190164;0.00185753
5000;0.0119484;0.00871119;0.0178534;0.0087141;0.0114991;0.0087308;0.0168618;0.0124629;0.00931644;0.00901149
10000;0.0246975;0.0178144;0.0294109;0.0172822;0.0224693;0.0180334;0.0329741;0.0242388;0.0183623;0.0177731
15000;0.0397332;0.0277218;0.04339;0.0292235;0.0370451;0.0268907;0.04068;0.0319488;0.0283201;0.0270324
20000;0.0483537;0.0343404;0.0533331;0.0350374;0.0448416;0.0344239;0.0660342;0.0496339;0.0369905;0.0358879
1000;0.00265793;0.00191052;0.008972;0.00190278;0.00244494;0.0018687;0.00382443;0.00281162;0.00206785;0.00185178
5000;0.0125929;0.00897257;0.0179972;0.0086924;0.011411;0.00870641;0.0222272;0.0131084;0.00950636;0.00911991
10000;0.0239967;0.017563;0.0289969;0.017131;0.022697;0.0184103;0.0330276;0.024093;0.0183933;0.0176706
15000;0.0403892;0.0278621;0.0437562;0.0310596;0.0370377;0.0272483;0.0414587;0.0324733;0.0280469;0.0266802
20000;0.0487975;0.0352514;0.055055;0.0353506;0.0457827;0.0346909;0.0654564;0.0501434;0.036997;0.035565
1000;0.00262521;0.00184709;0.0086448;0.00185217;0.00245067;0.00186603;0.00372346;0.00273035;0.00186594;0.00184795
5000;0.012526;0.00874408;0.0179773;0.00865108;0.011485;0.00869872;0.0168331;0.012689;0.00924631;0.00898971
10000;0.0241775;0.0176056;0.0294413;0.017197;0.0226563;0.0178521;0.0334845;0.0246887;0.0182393;0.0175026
15000;0.0398512;0.0292164;0.0436649;0.0297872;0.0368091;0.027102;0.0409838;0.0321426;0.028238;0.0270534
20000;0.0494141;0.0347544;0.0541075;0.0342263;0.0453065;0.0346395;0.0666033;0.0506524;0.0368615;0.0354767
1000;0.00272721;0.00194309;0.00875118;0.00186727;0.00247026;0.00185144;0.00371152;0.00274354;0.00188867;0.00180316
5000;0.0124303;0.00897835;0.0186;0.00877784;0.0115671;0.00877758;0.0166436;0.0123552;0.00922788;0.00880991
10000;0.0240263;0.0175068;0.0293468;0.0171099;0.0224573;0.0177932;0.0331801;0.0245625;0.0183122;0.0175813
15000;0.0403383;0.0280638;0.0442436;0.0292096;0.0372283;0.0271189;0.0412812;0.0320435;0.0287422;0.0274848
20000;0.0487506;0.0348423;0.0548964;0.0347233;0.0450189;0.0337507;0.0656737;0.0497243;0.0372344;0.0356369
1000;0.00266939;0.0019752;0.00922381;0.00188961;0.00248199;0.00203908;0.00371624;0.0027407;0.00189554;0.00183502
5000;0.0123253;0.00877137;0.0176251;0.00871551;0.0116865;0.00862688;0.0168483;0.0125339;0.00930215;0.00904658
10000;0.0243585;0.0173463;0.0293292;0.017196;0.0225445;0.0178593;0.032602;0.0242702;0.0183065;0.0177448
15000;0.0399821;0.0280091;0.0431312;0.0292911;0.0370691;0.0268969;0.0406287;0.0315257;0.0281705;0.0271544
20000;0.0487395;0.0347578;0.054999;0.0351398;0.0453789;0.0342522;0.0657765;0.0501222;0.0370126;0.0355752
1000;0.00269003;0.00196083;0.00889435;0.00193475;0.00255878;0.00189371;0.00376473;0.00283138;0.00200304;0.00187624
5000;0.0125198;0.00878855;0.0175575;0.00875638;0.0114302;0.00869366;0.0168665;0.012312;0.00950572;0.00905923
10000;0.0242353;0.0177896;0.0293613;0.0173975;0.0225827;0.0180112;0.0332665;0.0245112;0.0187408;0.0181823
